縱貫線北段,id,dis,level
基隆,92,0,一等
三坑,224,1300,簡易基隆
八堵,93,2400,二等
七堵,94,2300,一等
百福,261,2700,簡易七堵
五堵,95,3000,簡易汐止
汐止,96,1400,二等
汐科,262,1500,簡易汐止
南港,97,4500,二等
松山,98,2800,一等
臺北,100,6400,特等
萬華,101,2800,一等
板橋,102,4400,一等
浮洲,264,2500,簡易板橋
樹林,103,2900,一等
山佳,104,3900,三等
鶯歌,105,4400,二等
桃園,106,8200,一等
內壢,107,5900,三等
中壢,108,4000,一等
埔心,109,5800,三等
楊梅,110,4000,三等
富岡,111,6800,三等
北湖,271,3200,甲簡
湖口,112,2500,三等
新豐,113,6200,三等
竹北,114,4800,三等
北新竹,237,4400,簡易
新竹,115,1400,一等
香山,116,8000,甲簡新竹
崎頂,117,6400,招呼竹南
竹南,118,4600,一等
縱貫線山線,id,dis,level
竹南,118,0,一等
造橋,135,5300,簡易竹南
豐富,136,6400,招呼苗栗
苗栗,137,3500,一等
南勢,138,6600,招呼苗栗
銅鑼,139,4200,三等
三義,140,7400,三等
泰安,142,10900,簡易后里
后里,143,2600,三等
豐原,144,6800,一等
潭子,145,5000,三等
太原,225,5100,簡易臺中
臺中,146,4100,特等
大慶,223,4200,簡易臺中
烏日,147,3000,簡易新烏日
新烏日,280,800,三等
成功,148,2500,三等
溪南,???,2100,號誌彰化
彰化,149,5000,一等
縱貫線海線,id,dis,level
竹南,118,0,一等
談文,119,4500,招呼竹南
談文南,???,1800,號誌
大山,120,5900,甲簡後龍
後龍,121,3800,三等
龍港,122,3600,招呼後龍
白沙屯,123,8100,三等
新埔,124,3100,甲簡白沙屯
通霄,125,5800,三等
苑裡,126,6100,三等
日南,127,7700,甲簡大甲
大甲,128,4600,二等
臺中港,129,5300,二等
清水,130,6000,三等
沙鹿,131,3200,二等
龍井,132,4600,三等
大肚,133,5000,三等
追分,134,5000,三等
溪南,???,2100,號誌彰化
彰化,149,5000,一等
縱貫線南段,id,dis,level
彰化,149,0,一等
花壇,150,6600,甲簡彰化
大村,227,4600,簡易員林
員林,151,3500,一等
永靖,152,3500,招呼員林
社頭,153,3700,三等
田中,154,4300,二等
二水,155,5800,二等
林內,156,8100,三等
石榴,157,4800,招呼斗六
斗六,158,4800,一等
斗南,159,7600,二等
石龜,160,3900,招呼斗南
大林,161,4600,三等
民雄,162,5800,三等
嘉北,228,6700,簡易嘉義
嘉義,163,2600,一等
水上,164,6600,簡易嘉義
南靖,165,2600,甲簡嘉義
後壁,166,6000,甲簡新營
新營,167,7700,一等
柳營,168,3300,簡易新營
林鳳營,169,3900,甲簡隆田
隆田,170,5500,二等
拔林,171,2200,招呼隆田
善化,172,4600,二等
南科,282,2900,簡易善化
新市,173,4700,三等
永康,174,5000,二等
大橋,226,3700,簡易臺南
臺南,175,2700,一等
保安,176,7600,三等
仁德,???,1400,簡易中洲
中洲,177,2600,二等
大湖,178,2900,三等
路竹,179,2900,三等
岡山,180,7800,一等
橋頭,181,3600,三等
楠梓,183,4200,二等
新左營,288,5100,一等
左營,184,1900,簡易新左營
鼓山,???,4600,前三等站
高雄,185,2000,特等
成追線,id,dis,level
成功,148,0,三等
追分,134,2200,三等
屏東線,id,dis,level
高雄,185,0,一等
鳳山,186,5800,二等
後庄,187,3700,簡易鳳山
九曲堂,188,4300,三等
六塊厝,189,5000,招呼屏東
屏東,190,2200,一等
歸來,191,2600,招呼屏東
