lat,lon,name
22.2670609597,120.6595040392,枋山
22.2749540303,120.7414929662,中央
22.280917,120.7171670068,枋野
22.3061860073,120.6433480047,內獅
22.3309709597,120.624620989,加祿
22.3455090355,120.878079012,古莊
22.3652169853,120.9008000046,大武
22.3680189718,120.5950979982,枋寮
22.3989679758,120.572355967,東海
22.4140870012,120.5477420054,佳冬
22.4314060248,120.5153760407,林邊
22.457927037,120.5113209598,鎮安
22.4609809835,120.9417920373,瀧溪
22.4920579791,120.5117379595,南州
22.5067800377,120.9586629644,多良
22.5130740087,120.514796013,崁頂
22.5314879604,120.9672389925,金崙
22.5500859786,120.5364199821,潮州
22.5864650309,120.5399640184,竹田
22.616433017,120.5266969744,西勢
22.6188230328,121.00500701,太麻里
22.6312839892,120.3576830216,鳳山
22.634818973,120.514368033,麟洛
22.6396199595,120.3021110035,高雄
22.640163023,120.3913129773,後庄
22.6521889586,120.5029519647,歸來
22.6564469654,120.4209399875,九曲堂
22.6659869961,120.464996025,六塊厝
22.6693059783,120.4862029944,屏東
22.6758730318,120.2954530064,左營
22.6875439938,120.3067880217,新左營
22.6879153959,120.3079076763,高鐵左營站
22.710185023,121.0606699716,知本
22.7270349953,120.3243709914,楠梓
22.7608399652,120.3101869673,橋頭
22.7642740309,121.0935550276,康樂
22.7922710124,120.3000189643,岡山
22.7937110234,121.1231609993,台東
22.8539510071,120.2662669681,路竹
22.8620459978,121.1380309984,山里
22.8781860229,120.2539419662,大湖
22.9040260054,120.2528980002,中洲
22.9071169998,120.2723190375,長榮大學
22.9124690127,121.1370039638,鹿野
22.9234000202,120.2404470183,仁德
22.923848033,120.2864029817,沙崙
22.9250778258,120.286199972,高鐵台南站
22.9329520371,120.2316350397,保安
22.9559929669,121.1589639634,瑞源
22.9799849913,121.1558400281,瑞和
22.9971440043,120.2129660267,台南
23.0193989631,120.2244199812,大橋
23.0383380409,120.2535239607,永康
23.0456649978,121.1643729731,關山
23.0681910273,120.2900429908,新市
23.1029340159,121.1768289842,海端
23.1070239656,120.3019240033,南科
23.1260590162,121.2194239721,池上
23.1333240308,120.3065509815,善化
23.1722909957,120.32118503,拔林
23.1791319698,121.2486919854,富里
23.1927079707,120.3192020394,隆田
23.22602503,121.2784810178,東竹
23.2425920293,120.3209729679,林鳳營
23.2723089773,121.3041810226,東里
23.2776200026,120.3225190099,柳營
23.3067320287,120.3230550326,新營
23.331517987,121.3117259927,玉里
23.3662469778,120.3606030252,後壁
23.4134329855,120.3865389805,南靖
23.4245349839,121.3454029709,三民
23.4339760244,120.3997060284,水上
23.4595850017,120.3231240157,高鐵嘉義站
23.4725000057,121.3557780068,舞鶴
23.4793060273,120.4408279806,嘉義
23.4973759856,121.3768409751,瑞穗
23.4998970106,120.4485030379,嘉北
23.555039037,120.4316509701,民雄
23.5802679788,121.3801219873,富源
23.6010759696,120.4558389634,大林
23.605688028,121.3896239642,大富
23.6395090073,120.4710490163,石龜
23.6662929598,121.4211679995,光復
23.6729719955,120.4808410071,斗南
23.7117930315,120.5411710124,斗六
23.7119780201,121.4190669917,萬榮
23.7316709664,120.5800190382,石榴
23.7463399675,121.4470239915,鳳林
23.7596810237,120.6149869971,林內
23.7822760362,121.4582799654,南平
23.7984449789,120.6420339737,源泉
23.8131500222,120.6181150395,二水
23.8184560183,120.8533229772,水里
23.8264510129,120.7848910242,集集
23.832637025,120.8657450415,車埕
23.8346660323,120.7047199644,濁水
23.8351879735,120.7504040189,龍泉
23.8484749664,121.4961680118,豐田
23.8585029915,120.591395963,田中
23.8690159936,121.5106329974,壽豐
23.8827739656,121.5204850025,平和
23.8957100082,120.5807999801,社頭
23.9074939582,121.529436959,志學
23.9281469677,120.5716720037,永靖
23.9593460038,120.56996,員林
23.9675379731,121.5820289589,吉安
23.9900530223,120.5606450234,大村
23.9928680006,121.6009930149,花蓮
24.0249960031,120.5373999942,花壇
24.0325060207,121.6016670037,北埔
24.0816659667,120.538539011,彰化
24.0903170127,121.6107860114,景美
24.0956940036,120.566388974,溪南
24.1086589638,120.6224430352,烏日
24.1098510381,120.614308985,新烏日
24.1124839615,120.615968015,高鐵台中站
24.1142320074,120.5901639909,成功
24.1188760009,120.6478970312,大慶
24.1205770243,120.5701279733,追分
24.1275240295,121.6408659797,新城
24.1367810033,120.6850079913,台中
24.1540240031,120.5425360054,大肚
24.166682018,120.7000850234,太原
24.1721340269,121.6554980166,崇德
24.1974440217,120.5433710106,龍井
24.2128249817,120.7055719849,潭子
24.237043988,120.5576270353,沙鹿
24.2421319708,121.7120180279,和仁
24.2541119736,120.7229169924,豐原
24.2636240087,120.5691779684,清水
24.2982960027,121.7533460073,和平
24.3043879699,120.6023029983,台中港
24.3093120027,120.7328929659,后里
24.3312920351,120.7418160047,泰安
24.3354280014,121.7683549784,漢本
24.3444299977,120.6270170398,大甲
24.3780659884,120.6541190017,日南
24.4206199888,120.7739310153,三義
24.4434259739,120.6514940411,苑裡
24.4486739673,121.7760369927,武塔
24.4633960258,121.8009259645,南澳
24.486339977,120.7861730363,銅鑼
24.4914029818,120.6784250122,通霄
24.5182809792,121.8307050224,東澳
24.5224809833,120.7915439922,南勢
24.5401799586,120.6951790117,新埔
24.5647970214,120.7081980351,白沙屯
24.5684169978,121.8445639964,永樂
24.5700200368,120.8223429602,苗栗
24.5951810014,121.8514400069,蘇澳
24.6011289675,120.8235490322,豐富
24.6088580042,121.8276039697,蘇澳新
24.6116830409,120.7581420243,龍港
24.6153949667,121.8228999618,新馬
24.6162120346,120.787307024,後龍
24.6362970024,121.7921070289,冬山
24.6418630052,120.8671940211,造橋
24.6456450038,120.8037779666,大山
24.656414995,120.8582419809,談文
24.6600000188,120.8436110336,談文南
24.6779289935,121.7746290006,羅東
24.6866109688,120.8806980215,竹南
24.6941659972,121.7752559669,中里
24.7052669898,121.7741310317,二結
24.7053020261,121.1825560033,內灣
24.7155430354,121.1673710123,富貴
24.7167089581,121.1543899588,合興
24.720563041,121.1165460013,橫山
24.7206379753,121.1362149753,九讚頭
24.7228789609,120.871891994,崎頂
24.7382450011,121.094753975,竹東
24.7483590245,121.083309995,榮華
24.754512012,121.7582530249,宜蘭
24.7631280217,120.9138740134,香山
24.7778309695,121.0556990001,上員
24.7812959645,121.0312970169,竹中
24.7868020367,121.7627280392,四城
24.7880279738,121.0219480097,新莊
24.8016430344,120.9716959856,新竹
24.8068760242,121.002711961,千甲
24.8075279687,121.0392999742,六家
24.8084420152,121.0402580258,高鐵新竹站
24.8087649699,120.9838240128,北新竹
24.8270350043,121.7753540352,礁溪
24.8391610198,121.0094560403,竹北
24.8439979646,121.8092070334,頂埔
24.8589760065,121.8225559685,頭城
24.869794026,120.9967710357,新豐
24.88370304,121.8457579985,外澳
24.9028649926,121.0441230051,湖口
24.9048179761,121.8688779697,龜山
24.9140199646,121.145962961,楊梅
24.9194540363,121.1836650129,埔心
24.9222260155,121.0557359643,北湖
24.9344269652,121.0830670036,富岡
24.9383500312,121.8898370024,大溪
24.9536360241,121.2256480381,中壢
24.9545250088,121.355280038,鶯歌
24.9667989649,121.9224959984,大里
24.9724809732,121.3926140405,山佳
24.9727689754,121.2582119834,內壢
24.9783339724,121.9451920129,石城
24.9892059714,121.3135489728,桃園
24.9914069753,121.4246009756,樹林
25.004191976,121.4447369892,浮洲
25.0128609594,121.2147280108,高鐵桃園站
25.0138699729,121.4645900298,高鐵板橋站
25.014051022,121.463815039,板橋
25.0159210246,121.9447799586,福隆
25.0220630318,121.9086869806,貢寮
25.0238799769,121.7237220146,菁桐
25.0256450381,121.7400020175,平溪
25.0300519913,121.7480400112,嶺腳
25.0333960354,121.5004390106,萬華
25.0344959926,121.7637509666,望古
25.03856197,121.8665039632,雙溪
25.0411529839,121.7751630116,十分
25.0476699974,121.5169839654,高鐵台北站
25.0479239691,121.5170810279,臺北
25.0492830109,121.5780120157,松山
25.0499640405,121.79784704,大華
25.0522220414,121.6063890327,高鐵南港站
25.0532159675,121.6070579924,南港
25.0587679725,121.851998996,牡丹
25.062562963,121.6466499958,汐科
25.0655439869,121.822558986,三貂嶺
25.0683159661,121.6617349908,汐止
25.0778570026,121.6676299833,五堵
25.077923974,121.6936230194,百福
25.0869060215,121.8275309633,侯硐
25.0934529584,121.7139280122,七堵
25.1014480367,121.7377079744,暖暖
25.1027510036,121.761886999,四腳亭
25.1083340216,121.7290539946,八堵
25.1089279633,121.806147974,瑞芳
25.1230529789,121.742017027,三坑
25.1323019899,121.7394659948,基隆
25.1376379933,121.8000099901,海科館
