SN,Latitude,Longitude,Altitude,Heading,Speed
1,24.9721392,121.2571008,131,0,0
2,24.9721407,121.257088,127,97.37,0.18
3,24.9721424,121.2570752,127,98.34,1.57
4,24.9721504,121.2570752,127,180,1.07
5,24.9721711,121.2570624,126,150.73,2.38
6,24.9721792,121.2570624,126,180,1.08
7,24.9721792,121.2570752,126,270,1.55
8,24.972152,121.2571008,126,319.53,4.78
9,24.9721424,121.2571264,126,292.47,3.35
10,24.9721344,121.257152,126,289.02,3.28
11,24.9721248,121.2571776,126,292.47,2.52
12,24.9721152,121.2571776,126,0,0.26
13,24.9721056,121.2571776,126,0,0.96
14,24.972096,121.2571776,126,0,1.28
15,24.9720848,121.2571776,126,0,1.5
16,24.9720464,121.257216,126,317.81,2.6
17,24.9720352,121.2572288,126,313.99,0.43
18,24.972032,121.2572288,126,0,0.43
19,24.97204,121.2572288,126,180,0.32
20,24.9720384,121.257216,125,82.15,1.56
21,24.9720304,121.2571264,124,84.37,10.9
22,24.9719984,121.2569728,123,77.06,19.09
23,24.9719696,121.256832,124,77.28,17.48
24,24.9719392,121.2566912,124,76.6,17.53
25,24.9719072,121.256576,124,72.96,14.59
26,24.9718768,121.2564224,123,77.68,19.04
27,24.9717968,121.25632,123,49.24,16.37
28,24.9717391,121.2562176,122,58.14,14.6
29,24.971672,121.2561408,122,46.06,12.92
30,24.9716336,121.2560128,121,71.69,16.33
31,24.9715168,121.255808,120,57.82,29.3
32,24.9713679,121.2554752,120,63.73,44.94
33,24.9712032,121.2550784,120,65.4,52.85
34,24.9710592,121.2547968,120,60.57,58.73
35,24.9709072,121.2544896,120,61.37,63.57
36,24.97072,121.2541568,120,58.18,71.14
37,24.9705232,121.2538112,120,57.86,74.13
38,24.97032,121.2534272,120,59.73,80.77
39,24.9700928,121.253056,121,55.97,81.36
40,24.9698608,121.252672,121,56.32,83.82
41,24.9696,121.252288,121,53.16,87.16
42,24.9693168,121.2518912,121,51.79,91.73
43,24.9690224,121.2514944,122,50.7,93.14
44,24.9687088,121.2511232,122,47.02,92.17
45,24.9683824,121.2507648,122,44.87,92.28
46,24.9680608,121.2503808,122,47.27,94.96
47,24.9677264,121.2499968,122,46.15,96.72
48,24.9673984,121.2496,123,47.64,97.54
49,24.9670672,121.2492032,123,47.36,97.98
50,24.9667584,121.248768,123,51.95,100.39
51,24.9664352,121.2483712,124,48.06,96.9
52,24.9661136,121.2479744,124,48.2,96.69
53,24.9657968,121.2475648,124,49.53,97.8
54,24.9654672,121.247168,125,47.5,97.76
55,24.965144,121.2467712,125,48.06,96.9
56,24.9648192,121.2463744,125,47.92,97.11
57,24.9644928,121.245952,125,49.56,100.82
58,24.9641728,121.245568,125,47.41,94.75
59,24.9638416,121.245184,126,46.43,96.28
60,24.9635136,121.2448,125,46.7,95.84
61,24.9632,121.244416,125,47.99,93.89
62,24.962864,121.244032,125,46.02,96.95
63,24.9625391,121.2436352,124,47.91,97.13
64,24.9622096,121.2432512,125,46.57,96.05
65,24.9618752,121.2428544,125,47.09,98.41
66,24.9615408,121.2424576,124,47.09,98.42
67,24.9612176,121.2420736,122,47.13,95.18
68,24.9609248,121.241664,122,51.74,94.76
69,24.9606416,121.241216,123,55.11,99.21
70,24.9603744,121.240768,124,56.66,97.42
71,24.9601056,121.2403072,125,57.24,99.54
72,24.9598559,121.2398336,126,59.82,99.53
73,24.9596144,121.2393856,126,59.26,94.68
74,24.9593456,121.2389376,126,56.5,97.59
75,24.9590752,121.2384896,126,56.35,97.77
76,24.9588144,121.2380544,127,56.54,94.77
77,24.9585552,121.237632,127,55.91,92.66
78,24.9583136,121.237184,127,59.25,94.69
79,24.9580688,121.2367872,128,55.77,87.19
80,24.9578384,121.2363904,128,57.36,85.6
81,24.9576144,121.2360192,129,56.35,81.01
82,24.9573968,121.2356352,128,57.99,82.26
83,24.9572112,121.2352384,127,62.71,81.11
84,24.9570336,121.2348672,126,62.18,76.25
85,24.9569072,121.2344832,125,70.05,74.21
86,24.9567664,121.2341248,124,66.57,70.96
87,24.956632,121.2337664,124,67.53,70.46
88,24.9565088,121.2334336,125,67.79,65.3
89,24.9563935,121.2331136,125,68.33,62.56
90,24.9562816,121.2328064,124,68.11,60.14
91,24.95608,121.2324224,124,59.93,53.74
92,24.9559568,121.2320128,124,71.65,52.27
93,24.9558464,121.2317184,125,67.53,57.88
94,24.9557376,121.231424,125,67.82,57.76
95,24.9556,121.2310272,119,69.07,51.45
96,24.9554544,121.2306432,115,67.3,50.41
97,24.9553392,121.2303744,117,64.7,54.01
98,24.9552128,121.2300928,119,63.66,57.08
99,24.9550832,121.229824,122,62,55.31
100,24.954968,121.2295552,124,64.7,54.01
101,24.9548544,121.2292864,125,65.01,53.88
102,24.9546768,121.2289024,126,62.97,52.21
103,24.9545008,121.2285184,129,63.18,52.11
104,24.9543344,121.2281344,130,64.45,51.55
105,24.954176,121.2277504,131,65.54,51.09
106,24.9540208,121.227392,130,64.47,48.1
107,24.9538752,121.227072,130,63.35,43.36
108,24.9537472,121.226752,130,66.19,42.36
109,24.9536735,121.2265216,129,70.57,29.59
110,24.9536127,121.2262912,126,73.77,29.06
111,24.9535408,121.2260608,125,71.01,29.51
112,24.9534752,121.2258944,125,66.5,21.98
113,24.9534352,121.2257792,124,69.04,14.94
114,24.9534128,121.225728,124,64.24,6.89
115,24.9534096,121.2257152,124,74.58,2.41
116,24.9533952,121.2256896,123,58.18,3.65
117,24.9533904,121.2256896,122,0,0.65
118,24.9533824,121.2256512,123,77.06,0.33
119,24.9533504,121.2255872,123,61.12,8.85
120,24.9533264,121.2255744,123,25.81,3.56
121,24.9532944,121.2255488,123,35.95,5.28
122,24.9532832,121.2255232,123,64.24,3.44
123,24.953264,121.2254976,123,50.4,4.02
124,24.9532528,121.2254848,123,46.02,2.15
125,24.9532544,121.225472,123,97.85,0.22
126,24.9532544,121.225472,124,0,0
127,24.9532368,121.2254336,124,63.18,5.21
128,24.953224,121.2253824,124,74.58,6.43
129,24.953192,121.2252544,124,74.58,16.08
130,24.953104,121.2250112,124,68.24,31.71
131,24.9529919,121.2247424,124,65.3,35.83
132,24.9528032,121.2243072,123,64.44,58.43
133,24.952664,121.2239872,123,64.37,64.48
134,24.9525152,121.22368,123,61.89,63.27
135,24.9523504,121.2233216,123,63.11,73.01
136,24.9521728,121.2229632,123,61.34,74.2
137,24.951984,121.222592,123,60.71,77.32
138,24.9517648,121.222208,123,57.81,82.44
139,24.951536,121.2218368,123,55.79,81.54
140,24.9513056,121.22144,123,57.36,85.6
141,24.951032,121.2210816,123,49.9,85.12
142,24.95072,121.2207232,123,46.16,90.27
143,24.9503712,121.2203776,123,41.93,93.95
144,24.9499872,121.2200448,123,38.16,97.86
145,24.949592,121.219712,123,37.36,99.63
146,24.9491632,121.2193792,123,35.13,105.06
147,24.9489248,121.2192128,123,32.33,113.06
148,24.9487072,121.2190336,123,36.75,108.83
149,24.948288,121.2187136,123,34.69,102.15
150,24.9478736,121.2183936,123,35,101.36
151,24.947464,121.2180736,122,35.31,100.58
152,24.9470448,121.2177536,122,34.69,102.15
153,24.94664,121.2174336,122,35.63,99.8
154,24.9462448,121.2171136,122,36.29,98.24
155,24.9458448,121.2167936,122,35.96,99.02
156,24.9454304,121.2164608,122,36.06,102.72
157,24.9450256,121.2161536,121,34.53,98.46
158,24.9446224,121.2158336,121,35.74,99.54
159,24.9442144,121.2155136,121,35.42,100.32
160,24.9438016,121.2151936,123,35.1,101.1
161,24.9433936,121.2148736,123,35.42,100.32
162,24.9429952,121.2145408,123,37.14,100.14
163,24.9426096,121.2141824,123,40.12,101.04
164,24.942248,121.2137984,123,43.92,100.58
165,24.9419136,121.2134144,123,46.16,96.73
